Country,Year,Young Age Dependency Ratio,Retirement Age Dependency Ratio,SDG Region,Population,Male Population Ratio,Urban Population Ratio,Total Area (sq km),GDP_per_Capita,Life Expectancy,Infant mortality per 1000 live births,BMI,BMI Female,BMI Male
Mozambique,2016,84.8021275973563,4.87375334808336,Sub-Saharan Africa,27696493,48.9636720432439,34.926,799380.0,435.760991009624,59.038,61.0359,22.8,23.4,22.0
Myanmar,2016,38.6813844812912,8.42631258548175,Eastern and South-Eastern Asia,51892349,49.8580089330703,30.082,676590.0,1219.80143924907,65.685,39.896,22.6,23.0,22.2
Namibia,2016,60.4892916311348,6.28447308049007,Sub-Saharan Africa,2323352,48.319712208912,47.961,824290.0,4614.89207493896,61.682,32.5092,24.2,25.3,22.9
Nauru,2016,64.9787171583737,2.90620871862616,Oceania,11437,50.9923931100813,100.0,20.0,8528.63015087044,62.702,25.1996,32.5,32.7,32.2
Nepal,2016,53.1045103267633,9.13975182225866,Central and Southern Asia,27861186,47.5911865345574,18.942,147180.0,880.224893639824,68.776,29.5617,22.5,22.5,22.5
Netherlands,2016,25.0265425693602,27.9053079301735,Europe and Northern America,17030314,49.6056557547211,90.635,41540.0,46039.1059284098,81.5609756097561,3.4598,25.6,25.1,26.0
New Zealand,2016,30.362369236306,22.4801858453418,Australia and New Zealand,4714100,49.1087022697335,86.4,267710.0,40070.8956577431,81.6585365853659,3.532,28.0,28.0,28.1
Nicaragua,2016,49.8130565409086,7.13141212625739,Latin America and the Caribbean,6389235,49.2774330573222,58.09,130370.0,2079.45373495517,73.256,15.5357,27.2,27.9,26.5
Niger,2016,101.183165610084,4.9291917266382,Sub-Saharan Africa,20921743,50.6968276973864,16.29,1267000.0,497.036120831726,61.629,68.7443,21.8,22.3,21.4
Nigeria,2016,83.7969086119391,5.72143354017926,Sub-Saharan Africa,188666931,50.4550423836597,48.683,923770.0,2144.78034442697,52.043,80.223,23.2,23.9,22.5
North Macedonia,2016,24.146671020819,18.6350481303609,Europe and Northern America,1906313,49.907070243712,57.563,25710.0,5598.48622617967,75.4,11.8425,26.8,26.2,27.3
Norway,2016,27.2422108995866,25.1800553371331,Europe and Northern America,5234519,50.3638245499457,81.485,625194.0,70867.3609970749,82.4073170731707,2.1412,26.7,26.1,27.3
Oman,2016,29.4216641647475,3.36533294043339,Northern Africa and Western Asia,4398070,65.1725870665997,82.5,309500.0,17082.2061998982,77.916,9.1535,26.3,26.3,26.4
Pakistan,2016,66.3349701143197,6.82901021965473,Central and Southern Asia,213524840,50.9985217644935,36.234,796100.0,1468.82208238833,65.88,60.6622,23.9,24.6,23.3
Palau,2005,34.0538219295734,7.88004580589751,Oceania,19831,53.7844788462508,71.152,460.0,9633.8258725685,69.1292682926829,18.2234,29.4,29.6,29.3
Panama,2016,42.9693873516041,11.6059249692776,Latin America and the Caribbean,4026336,50.0772414423436,67.027,75320.0,14382.2323819969,77.653,13.205,26.9,27.7,26.2
Papua New Guinea,2016,59.4364220425484,4.60302705042215,Oceania,8899169,51.8574824233589,13.05,462840.0,2332.67588834678,64.84,39.6974,25.6,26.0,25.3
Paraguay,2016,47.0705421366411,8.86400661698783,Latin America and the Caribbean,6266615,50.2743347086106,61.026,406752.0,5759.04219789251,73.534,17.6788,26.7,26.9,26.5
Peru,2016,44.0513428559996,12.4430050506015,Latin America and the Caribbean,31132779,49.5557784931438,77.539,1285220.0,6163.86042474328,75.789,13.3361,26.7,27.1,26.2
Philippines,2016,51.1847739333213,7.49084396725833,Eastern and South-Eastern Asia,104875266,50.6809737197711,46.475,300000.0,3038.15203684461,71.387,21.2517,23.2,23.5,22.8
Poland,2016,21.7620185365587,23.3794960271567,Europe and Northern America,37970087,48.3947765854419,60.178,312680.0,12378.8128106111,77.8512195121951,4.0959,26.7,25.9,27.4
Portugal,2016,21.6172624672389,32.2567886781076,Europe and Northern America,10325452,47.3736476619542,64.086,92225.6,19991.9724878805,81.1243902439025,3.2475,25.6,25.1,26.1
Qatar,2016,16.0582678190196,1.22426955080289,Northern Africa and Western Asia,2595166,75.3527905344013,99.015,11490.0,58467.2355711087,80.433,6.1624,29.2,30.1,28.8
Romania,2016,23.5191058859941,25.6462698032107,Europe and Northern America,19702267,48.4292715056506,53.9,238400.0,9404.38125929526,75.209756097561,6.8932,26.9,26.8,27.0
Russia,2016,24.9851075273166,20.1811754340289,Europe and Northern America,145015460,46.3926766523769,74.164,17098250.0,8663.158203125,71.6512195121951,5.959,26.2,26.4,25.8
Rwanda,2016,72.7519742680707,5.29215317326686,Sub-Saharan Africa,11930899,48.6925084186866,17.056,26340.0,728.802757896536,65.737,34.0992,22.1,22.8,21.3
Saint Kitts and Nevis,2016,29.538506760729,10.9347442680776,Latin America and the Caribbean,47788,48.7904913367373,30.79,260.0,21068.4380706143,71.74,15.0112,29.5,30.7,28.2
Saint Lucia,2016,28.1086133422049,11.6280911870475,Latin America and the Caribbean,176413,49.7304620407793,18.558,620.0,10591.8750003936,73.112,14.8056,30.0,30.4,29.6
Saint Vincent and the Grenadines,2016,34.8857223476298,14.6106094808126,Latin America and the Caribbean,105963,51.2046657795646,51.373,390.0,7684.79283998852,74.28,15.103,27.2,28.2,26.3
